# NASA POWER daily point,lat=-2.5547,lon=120.3242,grid_elev_m=658.23,period=19960101-20260131
DATE,PRECTOTCORR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,WS10M_MAX,WS2M,PS
19960613,1.06,5.7521,-999.0,2.2752,-999.0,23.46,26.85,21.0,85.54,1.12,1.7,0.68,93.61
19960614,9.82,4.8266,-999.0,3.5328,-999.0,23.22,26.12,20.74,86.81,1.29,1.75,0.8,93.63
19960615,6.84,4.7525,-999.0,4.0656,-999.0,23.28,26.31,20.44,86.46,1.38,1.95,0.86,93.63
19960616,25.54,3.6108,-999.0,3.5232,-999.0,22.89,24.82,21.63,93.24,1.16,2.12,0.76,93.7
19960617,5.67,3.5383,-999.0,3.3168,-999.0,22.84,25.13,21.31,90.42,1.13,1.62,0.74,93.82
19960618,0.08,6.0106,-999.0,1.344,-999.0,23.51,26.89,20.37,82.86,1.11,1.68,0.72,93.74
19960619,67.19,4.4477,-999.0,3.6912,-999.0,23.09,25.19,21.44,92.41,1.79,3.1,1.14,93.79
19960620,16.12,3.2215,-999.0,3.2328,-999.0,22.39,24.17,21.14,93.22,1.63,2.48,1.01,93.93
19960621,14.52,4.2218,-999.0,3.7584,-999.0,22.43,24.72,20.99,90.09,1.36,2.02,0.83,93.94
19960622,4.02,4.7446,-999.0,4.0776,-999.0,22.84,25.72,21.09,90.23,1.88,2.45,1.19,93.91
19960623,0.28,4.9126,-999.0,3.5712,-999.0,23.08,25.83,21.28,89.02,1.59,2.48,1.0,93.81
19960624,27.11,4.1273,-999.0,2.7768,-999.0,22.91,25.39,20.96,92.18,1.49,2.41,0.94,93.85
19960625,7.99,4.3229,-999.0,3.7248,-999.0,23.1,25.05,21.85,91.07,1.1,1.85,0.7,93.9
19960626,0.71,4.7652,-999.0,3.7776,-999.0,22.73,24.54,21.39,90.1,1.0,1.56,0.61,93.95
19960627,39.47,3.9211,-999.0,3.5448,-999.0,22.7,25.42,20.62,91.13,1.49,2.3,0.95,94.01
19960628,4.25,5.6426,-999.0,2.4216,-999.0,22.78,25.18,20.96,89.92,1.09,1.89,0.68,93.99
19960629,3.83,5.0882,-999.0,3.1896,-999.0,23.36,26.14,21.45,86.3,0.96,1.57,0.58,93.96
19960630,5.8,3.1968,-999.0,3.0744,-999.0,22.45,24.81,21.12,88.23,1.01,1.65,0.68,94.01
19960701,1.24,4.4002,-999.0,3.2616,-999.0,22.56,25.36,20.17,89.22,1.1,1.81,0.73,93.92
19960702,47.09,3.5717,-999.0,3.5472,-999.0,22.93,25.67,21.23,89.36,1.47,1.82,0.9,93.88
19960703,4.71,3.0485,-999.0,3.072,-999.0,22.76,25.55,20.68,87.27,1.22,1.6,0.75,93.88
19960704,33.32,4.8427,-999.0,4.0584,-999.0,23.03,25.47,21.38,90.03,1.14,2.53,0.72,93.74
19960705,33.36,3.809,-999.0,3.9024,-999.0,22.64,24.84,20.74,92.01,1.17,1.87,0.73,93.57
19960706,17.27,3.6926,-999.0,3.5328,-999.0,22.98,25.37,21.6,92.4,1.67,2.78,1.04,93.47
19960707,8.34,4.4798,-999.0,3.9072,-999.0,22.87,25.69,20.69,90.15,1.3,1.91,0.8,93.56
19960708,8.52,2.5313,-999.0,2.6016,-999.0,22.62,25.24,20.39,90.91,1.11,1.74,0.71,93.68
19960709,9.88,1.4189,-999.0,1.1376,-999.0,22.78,25.14,20.61,91.78,1.31,2.07,0.82,93.64
19960710,7.04,2.5296,-999.0,2.4912,-999.0,22.27,23.61,20.96,95.71,1.21,2.15,0.78,93.64
19960711,0.68,4.6834,-999.0,3.2256,-999.0,22.76,24.93,21.19,87.07,0.9,1.26,0.54,93.63
19960712,7.85,3.7402,-999.0,3.7248,-999.0,23.02,25.99,20.69,86.38,1.28,1.91,0.8,93.69
19960713,20.1,2.9537,-999.0,3.0312,-999.0,22.45,25.32,20.38,90.1,1.34,1.77,0.85,93.77
19960714,4.61,5.0573,-999.0,3.6456,-999.0,22.51,26.11,19.72,86.51,1.59,2.59,1.0,93.77
19960715,0.04,5.3755,-999.0,3.4584,-999.0,22.47,25.07,20.71,88.46,1.63,2.61,1.03,93.8
19960716,0.57,4.1515,-999.0,4.464,-999.0,22.39,24.9,20.35,89.53,1.84,2.99,1.13,93.79
19960717,0.1,4.5228,-999.0,4.2264,-999.0,22.47,25.01,20.77,88.08,1.83,3.28,1.15,93.85
19960718,0.04,4.8893,-999.0,3.6504,-999.0,22.4,25.42,20.35,88.38,1.78,2.57,1.1,93.87
19960719,0.02,5.3978,-999.0,3.288,-999.0,22.43,25.46,20.36,87.78,1.83,2.72,1.13,93.8
19960720,1.38,4.6346,-999.0,3.3672,-999.0,21.89,24.93,19.82,84.77,1.69,2.62,1.04,93.84
19960721,3.82,5.399,-999.0,2.7864,-999.0,21.76,25.18,18.71,86.24,1.76,2.53,1.1,93.84
19960722,0.96,4.6121,-999.0,4.0896,-999.0,22.75,25.99,20.07,85.27,1.17,2.4,0.74,93.75
19960723,19.12,4.909,-999.0,3.6192,-999.0,22.89,25.97,20.63,86.83,1.32,2.43,0.85,93.76
19960724,9.04,4.5247,-999.0,4.1136,-999.0,22.39,24.74,20.3,89.89,1.31,2.12,0.83,93.75
19960725,1.86,4.7602,-999.0,4.6944,-999.0,22.57,25.33,20.9,90.77,1.43,2.53,0.92,93.78
19960726,4.43,4.0579,-999.0,3.996,-999.0,21.72,23.15,20.6,90.75,1.19,2.02,0.76,93.92
19960727,6.91,4.915,-999.0,2.8872,-999.0,22.27,24.67,20.59,90.55,1.53,2.98,1.0,93.84
19960728,1.5,5.7302,-999.0,2.8752,-999.0,22.98,26.48,20.64,86.12,1.65,2.67,1.06,93.71
19960729,0.29,5.5013,-999.0,3.096,-999.0,22.66,25.4,20.59,88.51,1.93,2.54,1.2,93.71
19960730,0.23,5.328,-999.0,3.6816,-999.0,22.63,25.3,20.73,89.05,1.93,2.9,1.21,93.8
19960731,28.62,5.496,-999.0,2.2968,-999.0,22.83,25.58,21.01,87.74,1.13,1.62,0.71,93.86
19960801,10.43,4.4191,-999.0,3.612,-999.0,22.05,24.13,20.8,93.56,1.64,2.55,1.02,93.89
19960802,0.33,6.0574,-999.0,1.3464,-999.0,22.32,24.82,20.98,91.6,1.29,1.64,0.78,93.85
19960803,3.58,4.9154,-999.0,3.6888,-999.0,22.86,25.1,21.39,91.73,1.74,2.51,1.09,93.81
